texte,sujet
"Bonjour, est-ce qu’il y a des douches accessibles près de chemin Nicolas Bègue ? J’ai besoin de me laver rapidement.",douche
"J’ai des pensées suicidaires, je suis à boulevard de De Sousa dans Paris. Je veux parler à quelqu’un.",santé
Y a-t-il un hôpital ou un médecin proche de boulevard Dias ? Je me suis fait mal.,santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue Poulain.",maraude
"Je cherche les horaires d’une maraude dans Paris, si possible près de avenue Philippe Rivière.",maraude
"Bonjour, est-ce qu’il y a des douches accessibles près de boulevard Henri Lesage ? J’ai besoin de me laver rapidement.",douche
Quel est le commissariat le plus proche de chemin Camille Collet ? J’ai besoin d’aide légale.,judiciaire
Quel est le commissariat le plus proche de boulevard Grégoire ? J’ai besoin d’aide légale.,judiciaire
Il y a une maraude ce soir vers rue Raymond Guichard ? Je cherche un endroit pour manger ou discuter.,maraude
Il y a une maraude ce soir vers chemin de Auger ? Je cherche un endroit pour manger ou discuter.,maraude
Quel est le commissariat le plus proche de rue Le Roux ? J’ai besoin d’aide légale.,judiciaire
Quel est le commissariat le plus proche de boulevard de Langlois ? J’ai besoin d’aide légale.,judiciaire
"J’ai des pensées suicidaires, je suis à boulevard Henriette Rey dans Paris. Je veux parler à quelqu’un.",santé
"Bonjour, est-ce qu’il y a des douches accessibles près de rue Laurent ? J’ai besoin de me laver rapidement.",douche
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue Rodrigues.",maraude
"Je cherche les horaires d’une maraude dans Paris, si possible près de chemin Blanchet.",maraude
"Je cherche les horaires d’une maraude dans Paris, si possible près de avenue Raymond Martin.",maraude
"Je cherche les horaires d’une maraude dans Paris, si possible près de boulevard Perrier.",maraude
"J’ai des pensées suicidaires, je suis à chemin de Maurice dans Paris. Je veux parler à quelqu’un.",santé
Quel est le commissariat le plus proche de boulevard Mahe ? J’ai besoin d’aide légale.,judiciaire
Y a-t-il un hôpital ou un médecin proche de avenue Daniel Sauvage ? Je me suis fait mal.,santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de boulevard Martinez.",maraude
Quel est le commissariat le plus proche de avenue de Perret ? J’ai besoin d’aide légale.,judiciaire
"Bonjour, est-ce qu’il y a des douches accessibles près de rue Evrard ? J’ai besoin de me laver rapidement.",douche
"Bonjour, est-ce qu’il y a des douches accessibles près de boulevard Hoareau ? J’ai besoin de me laver rapidement.",douche
"J’ai des pensées suicidaires, je suis à rue Thierry Rolland dans Paris. Je veux parler à quelqu’un.",santé
"Bonjour, est-ce qu’il y a des douches accessibles près de boulevard de Delaunay ? J’ai besoin de me laver rapidement.",douche
"J’ai des pensées suicidaires, je suis à rue Gilles Leblanc dans Paris. Je veux parler à quelqu’un.",santé
Y a-t-il un hôpital ou un médecin proche de boulevard Célina Charpentier ? Je me suis fait mal.,santé
"Bonjour, est-ce qu’il y a des douches accessibles près de chemin de Guillet ? J’ai besoin de me laver rapidement.",douche
Il y a une maraude ce soir vers boulevard de Dupuy ? Je cherche un endroit pour manger ou discuter.,maraude
"J’ai des pensées suicidaires, je suis à chemin de Fischer dans Paris. Je veux parler à quelqu’un.",santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de avenue Gonzalez.",maraude
"J’ai des pensées suicidaires, je suis à boulevard Richard Gilbert dans Paris. Je veux parler à quelqu’un.",santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue de Lambert.",maraude
Y a-t-il un hôpital ou un médecin proche de chemin Isabelle Guyon ? Je me suis fait mal.,santé
"Bonjour, est-ce qu’il y a des douches accessibles près de rue Jeanne Diallo ? J’ai besoin de me laver rapidement.",douche
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue de Mary.",maraude
Quel est le commissariat le plus proche de boulevard de De Oliveira ? J’ai besoin d’aide légale.,judiciaire
Quel est le commissariat le plus proche de boulevard Suzanne Besson ? J’ai besoin d’aide légale.,judiciaire
Il y a une maraude ce soir vers rue Raymond ? Je cherche un endroit pour manger ou discuter.,maraude
Il y a une maraude ce soir vers rue de Parent ? Je cherche un endroit pour manger ou discuter.,maraude
Quel est le commissariat le plus proche de avenue de Lecomte ? J’ai besoin d’aide légale.,judiciaire
Quel est le commissariat le plus proche de chemin Grondin ? J’ai besoin d’aide légale.,judiciaire
"Bonjour, est-ce qu’il y a des douches accessibles près de avenue de Baudry ? J’ai besoin de me laver rapidement.",douche
"J’ai des pensées suicidaires, je suis à avenue Garnier dans Paris. Je veux parler à quelqu’un.",santé
Quel est le commissariat le plus proche de chemin de Vidal ? J’ai besoin d’aide légale.,judiciaire
"Bonjour, est-ce qu’il y a des douches accessibles près de avenue Michaud ? J’ai besoin de me laver rapidement.",douche
Y a-t-il un hôpital ou un médecin proche de chemin Louis Collet ? Je me suis fait mal.,santé
"J’ai des pensées suicidaires, je suis à avenue Jacques dans Paris. Je veux parler à quelqu’un.",santé
Quel est le commissariat le plus proche de rue de Buisson ? J’ai besoin d’aide légale.,judiciaire
Y a-t-il un hôpital ou un médecin proche de rue Emmanuelle Bouchet ? Je me suis fait mal.,santé
"J’ai des pensées suicidaires, je suis à chemin de Valette dans Paris. Je veux parler à quelqu’un.",santé
"J’ai des pensées suicidaires, je suis à rue de Dos Santos dans Paris. Je veux parler à quelqu’un.",santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue Maryse Costa.",maraude
Il y a une maraude ce soir vers rue de Meunier ? Je cherche un endroit pour manger ou discuter.,maraude
"J’ai des pensées suicidaires, je suis à rue de Coulon dans Paris. Je veux parler à quelqu’un.",santé
Y a-t-il un hôpital ou un médecin proche de avenue Laurent Mallet ? Je me suis fait mal.,santé
Quel est le commissariat le plus proche de rue De Sousa ? J’ai besoin d’aide légale.,judiciaire
Y a-t-il un hôpital ou un médecin proche de rue de Maréchal ? Je me suis fait mal.,santé
Quel est le commissariat le plus proche de rue Riou ? J’ai besoin d’aide légale.,judiciaire
Y a-t-il un hôpital ou un médecin proche de rue de Clément ? Je me suis fait mal.,santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de boulevard Margot Voisin.",maraude
"J’ai des pensées suicidaires, je suis à chemin de Fernandez dans Paris. Je veux parler à quelqu’un.",santé
Quel est le commissariat le plus proche de rue Thomas ? J’ai besoin d’aide légale.,judiciaire
"Bonjour, est-ce qu’il y a des douches accessibles près de avenue de Guillou ? J’ai besoin de me laver rapidement.",douche
Y a-t-il un hôpital ou un médecin proche de chemin de Lemaire ? Je me suis fait mal.,santé
Il y a une maraude ce soir vers rue Seguin ? Je cherche un endroit pour manger ou discuter.,maraude
Quel est le commissariat le plus proche de rue de Benoit ? J’ai besoin d’aide légale.,judiciaire
Y a-t-il un hôpital ou un médecin proche de avenue de Ollivier ? Je me suis fait mal.,santé
Quel est le commissariat le plus proche de boulevard Mathieu ? J’ai besoin d’aide légale.,judiciaire
"J’ai des pensées suicidaires, je suis à avenue Henriette Guérin dans Paris. Je veux parler à quelqu’un.",santé
Quel est le commissariat le plus proche de rue Lorraine Carlier ? J’ai besoin d’aide légale.,judiciaire
Y a-t-il un hôpital ou un médecin proche de boulevard Simon ? Je me suis fait mal.,santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue de Laine.",maraude
Il y a une maraude ce soir vers rue Théophile Joseph ? Je cherche un endroit pour manger ou discuter.,maraude
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue Hervé.",maraude
Quel est le commissariat le plus proche de avenue de Weiss ? J’ai besoin d’aide légale.,judiciaire
"J’ai des pensées suicidaires, je suis à avenue Noël Marty dans Paris. Je veux parler à quelqu’un.",santé
Quel est le commissariat le plus proche de rue Guillaume ? J’ai besoin d’aide légale.,judiciaire
Y a-t-il un hôpital ou un médecin proche de boulevard Lefort ? Je me suis fait mal.,santé
Il y a une maraude ce soir vers avenue Chauveau ? Je cherche un endroit pour manger ou discuter.,maraude
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue de Charrier.",maraude
"Bonjour, est-ce qu’il y a des douches accessibles près de boulevard de Mallet ? J’ai besoin de me laver rapidement.",douche
"Bonjour, est-ce qu’il y a des douches accessibles près de avenue de Lejeune ? J’ai besoin de me laver rapidement.",douche
"Bonjour, est-ce qu’il y a des douches accessibles près de rue Devaux ? J’ai besoin de me laver rapidement.",douche
Y a-t-il un hôpital ou un médecin proche de rue Olivie Gilbert ? Je me suis fait mal.,santé
"Bonjour, est-ce qu’il y a des douches accessibles près de avenue Margot Colin ? J’ai besoin de me laver rapidement.",douche
"Bonjour, est-ce qu’il y a des douches accessibles près de rue Ribeiro ? J’ai besoin de me laver rapidement.",douche
Quel est le commissariat le plus proche de boulevard de Dumas ? J’ai besoin d’aide légale.,judiciaire
Il y a une maraude ce soir vers avenue de Chauveau ? Je cherche un endroit pour manger ou discuter.,maraude
Quel est le commissariat le plus proche de avenue Girard ? J’ai besoin d’aide légale.,judiciaire
Il y a une maraude ce soir vers rue Becker ? Je cherche un endroit pour manger ou discuter.,maraude
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue Allard.",maraude
Quel est le commissariat le plus proche de avenue Brigitte Ramos ? J’ai besoin d’aide légale.,judiciaire
Il y a une maraude ce soir vers rue Hernandez ? Je cherche un endroit pour manger ou discuter.,maraude
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue Martel.",maraude
Y a-t-il un hôpital ou un médecin proche de avenue de David ? Je me suis fait mal.,santé
"J’ai des pensées suicidaires, je suis à chemin de Tessier dans Paris. Je veux parler à quelqu’un.",santé
Quel est le commissariat le plus proche de avenue Arnaud ? J’ai besoin d’aide légale.,judiciaire
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue Raymond Thibault.",maraude
Quel est le commissariat le plus proche de boulevard Lemoine ? J’ai besoin d’aide légale.,judiciaire
Il y a une maraude ce soir vers boulevard de Poulain ? Je cherche un endroit pour manger ou discuter.,maraude
Quel est le commissariat le plus proche de rue de Wagner ? J’ai besoin d’aide légale.,judiciaire
Y a-t-il un hôpital ou un médecin proche de chemin de Aubry ? Je me suis fait mal.,santé
Il y a une maraude ce soir vers rue Julien Baudry ? Je cherche un endroit pour manger ou discuter.,maraude
Il y a une maraude ce soir vers rue de Lamy ? Je cherche un endroit pour manger ou discuter.,maraude
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue Hélène Durand.",maraude
Y a-t-il un hôpital ou un médecin proche de avenue Letellier ? Je me suis fait mal.,santé
Il y a une maraude ce soir vers rue Gérard Foucher ? Je cherche un endroit pour manger ou discuter.,maraude
"J’ai des pensées suicidaires, je suis à rue Frédéric Cohen dans Paris. Je veux parler à quelqu’un.",santé
Quel est le commissariat le plus proche de rue Denis Perez ? J’ai besoin d’aide légale.,judiciaire
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue de Pelletier.",maraude
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue Grégoire Roy.",maraude
Y a-t-il un hôpital ou un médecin proche de rue de Adam ? Je me suis fait mal.,santé
"Bonjour, est-ce qu’il y a des douches accessibles près de boulevard Torres ? J’ai besoin de me laver rapidement.",douche
Il y a une maraude ce soir vers boulevard Zoé Blot ? Je cherche un endroit pour manger ou discuter.,maraude
Quel est le commissariat le plus proche de boulevard de Bazin ? J’ai besoin d’aide légale.,judiciaire
"Bonjour, est-ce qu’il y a des douches accessibles près de chemin de Berthelot ? J’ai besoin de me laver rapidement.",douche
Il y a une maraude ce soir vers rue Aurélie Chauveau ? Je cherche un endroit pour manger ou discuter.,maraude
Quel est le commissariat le plus proche de chemin Suzanne Chauvin ? J’ai besoin d’aide légale.,judiciaire
"J’ai des pensées suicidaires, je suis à boulevard de Lopes dans Paris. Je veux parler à quelqu’un.",santé
"J’ai des pensées suicidaires, je suis à rue Valérie Peltier dans Paris. Je veux parler à quelqu’un.",santé
"Bonjour, est-ce qu’il y a des douches accessibles près de rue Raynaud ? J’ai besoin de me laver rapidement.",douche
"Bonjour, est-ce qu’il y a des douches accessibles près de chemin Perez ? J’ai besoin de me laver rapidement.",douche
"J’ai des pensées suicidaires, je suis à chemin Danielle Clément dans Paris. Je veux parler à quelqu’un.",santé
Y a-t-il un hôpital ou un médecin proche de boulevard de Sanchez ? Je me suis fait mal.,santé
Il y a une maraude ce soir vers avenue Susan Lebrun ? Je cherche un endroit pour manger ou discuter.,maraude
Quel est le commissariat le plus proche de avenue David Gaillard ? J’ai besoin d’aide légale.,judiciaire
"Bonjour, est-ce qu’il y a des douches accessibles près de chemin de Allain ? J’ai besoin de me laver rapidement.",douche
"Bonjour, est-ce qu’il y a des douches accessibles près de rue Fernandez ? J’ai besoin de me laver rapidement.",douche
"J’ai des pensées suicidaires, je suis à avenue Julien dans Paris. Je veux parler à quelqu’un.",santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de avenue Aimée Marie.",maraude
Y a-t-il un hôpital ou un médecin proche de rue Nath Marin ? Je me suis fait mal.,santé
"J’ai des pensées suicidaires, je suis à boulevard Adèle Robert dans Paris. Je veux parler à quelqu’un.",santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue Suzanne Menard.",maraude
"J’ai des pensées suicidaires, je suis à avenue Bernard Lebreton dans Paris. Je veux parler à quelqu’un.",santé
"J’ai des pensées suicidaires, je suis à rue de Aubry dans Paris. Je veux parler à quelqu’un.",santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue Mary.",maraude
Il y a une maraude ce soir vers chemin de Blondel ? Je cherche un endroit pour manger ou discuter.,maraude
Il y a une maraude ce soir vers chemin de Rey ? Je cherche un endroit pour manger ou discuter.,maraude
Y a-t-il un hôpital ou un médecin proche de rue Marthe Léger ? Je me suis fait mal.,santé
Quel est le commissariat le plus proche de rue de Le Gall ? J’ai besoin d’aide légale.,judiciaire
"J’ai des pensées suicidaires, je suis à chemin de Hebert dans Paris. Je veux parler à quelqu’un.",santé
"Bonjour, est-ce qu’il y a des douches accessibles près de chemin Victoire Boutin ? J’ai besoin de me laver rapidement.",douche
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue Capucine Lefebvre.",maraude
Y a-t-il un hôpital ou un médecin proche de rue de Jacquot ? Je me suis fait mal.,santé
Quel est le commissariat le plus proche de avenue de Faure ? J’ai besoin d’aide légale.,judiciaire
"Bonjour, est-ce qu’il y a des douches accessibles près de rue Thierry ? J’ai besoin de me laver rapidement.",douche
"Bonjour, est-ce qu’il y a des douches accessibles près de boulevard de Joly ? J’ai besoin de me laver rapidement.",douche
Quel est le commissariat le plus proche de avenue Bernadette Denis ? J’ai besoin d’aide légale.,judiciaire
"J’ai des pensées suicidaires, je suis à chemin de Hoarau dans Paris. Je veux parler à quelqu’un.",santé
Y a-t-il un hôpital ou un médecin proche de boulevard Julien ? Je me suis fait mal.,santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de chemin Nathalie Brun.",maraude
Y a-t-il un hôpital ou un médecin proche de rue Diane Chevallier ? Je me suis fait mal.,santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de avenue de Peron.",maraude
"Bonjour, est-ce qu’il y a des douches accessibles près de rue Andrée Vincent ? J’ai besoin de me laver rapidement.",douche
Quel est le commissariat le plus proche de boulevard de Nguyen ? J’ai besoin d’aide légale.,judiciaire
Quel est le commissariat le plus proche de rue Lecoq ? J’ai besoin d’aide légale.,judiciaire
Y a-t-il un hôpital ou un médecin proche de rue de Dupuis ? Je me suis fait mal.,santé
Quel est le commissariat le plus proche de avenue de Bourdon ? J’ai besoin d’aide légale.,judiciaire
Il y a une maraude ce soir vers avenue Matthieu Ferrand ? Je cherche un endroit pour manger ou discuter.,maraude
"Je cherche les horaires d’une maraude dans Paris, si possible près de chemin Cécile Lévêque.",maraude
"Bonjour, est-ce qu’il y a des douches accessibles près de boulevard Gilles Pasquier ? J’ai besoin de me laver rapidement.",douche
Il y a une maraude ce soir vers rue Hardy ? Je cherche un endroit pour manger ou discuter.,maraude
Y a-t-il un hôpital ou un médecin proche de boulevard Maurice Regnier ? Je me suis fait mal.,santé
"Bonjour, est-ce qu’il y a des douches accessibles près de boulevard Maryse Becker ? J’ai besoin de me laver rapidement.",douche
Quel est le commissariat le plus proche de avenue de Didier ? J’ai besoin d’aide légale.,judiciaire
Quel est le commissariat le plus proche de rue Valentine Fabre ? J’ai besoin d’aide légale.,judiciaire
"Bonjour, est-ce qu’il y a des douches accessibles près de boulevard Renaud ? J’ai besoin de me laver rapidement.",douche
"Je cherche les horaires d’une maraude dans Paris, si possible près de chemin Barbier.",maraude
"Bonjour, est-ce qu’il y a des douches accessibles près de chemin Matthieu Rousset ? J’ai besoin de me laver rapidement.",douche
Il y a une maraude ce soir vers boulevard Pierre Lambert ? Je cherche un endroit pour manger ou discuter.,maraude
Y a-t-il un hôpital ou un médecin proche de rue de Étienne ? Je me suis fait mal.,santé
"J’ai des pensées suicidaires, je suis à chemin Mary dans Paris. Je veux parler à quelqu’un.",santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de boulevard Michel Gaillard.",maraude
"J’ai des pensées suicidaires, je suis à rue Claudine Lopes dans Paris. Je veux parler à quelqu’un.",santé
"J’ai des pensées suicidaires, je suis à boulevard de Marchand dans Paris. Je veux parler à quelqu’un.",santé
"Bonjour, est-ce qu’il y a des douches accessibles près de rue Besson ? J’ai besoin de me laver rapidement.",douche
Quel est le commissariat le plus proche de rue Gomes ? J’ai besoin d’aide légale.,judiciaire
Quel est le commissariat le plus proche de boulevard de Raynaud ? J’ai besoin d’aide légale.,judiciaire
"J’ai des pensées suicidaires, je suis à rue Arthur Fischer dans Paris. Je veux parler à quelqu’un.",santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue de Maillot.",maraude
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue Hamel.",maraude
Quel est le commissariat le plus proche de rue de Giraud ? J’ai besoin d’aide légale.,judiciaire
"J’ai des pensées suicidaires, je suis à chemin Michaud dans Paris. Je veux parler à quelqu’un.",santé
Y a-t-il un hôpital ou un médecin proche de rue William Pruvost ? Je me suis fait mal.,santé
Y a-t-il un hôpital ou un médecin proche de rue de Delorme ? Je me suis fait mal.,santé
Y a-t-il un hôpital ou un médecin proche de boulevard de Dupuis ? Je me suis fait mal.,santé
"Bonjour, est-ce qu’il y a des douches accessibles près de boulevard Dupré ? J’ai besoin de me laver rapidement.",douche
"Bonjour, est-ce qu’il y a des douches accessibles près de avenue de Petitjean ? J’ai besoin de me laver rapidement.",douche
"Je cherche les horaires d’une maraude dans Paris, si possible près de avenue Rolland.",maraude
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue Delannoy.",maraude
"J’ai des pensées suicidaires, je suis à chemin de Vaillant dans Paris. Je veux parler à quelqu’un.",santé
Y a-t-il un hôpital ou un médecin proche de rue de Delattre ? Je me suis fait mal.,santé
Y a-t-il un hôpital ou un médecin proche de boulevard Lacroix ? Je me suis fait mal.,santé
"J’ai des pensées suicidaires, je suis à boulevard de Klein dans Paris. Je veux parler à quelqu’un.",santé
Il y a une maraude ce soir vers rue de Ferreira ? Je cherche un endroit pour manger ou discuter.,maraude
Y a-t-il un hôpital ou un médecin proche de rue Aubry ? Je me suis fait mal.,santé
Il y a une maraude ce soir vers chemin Nath Bouvier ? Je cherche un endroit pour manger ou discuter.,maraude
Quel est le commissariat le plus proche de rue de Leconte ? J’ai besoin d’aide légale.,judiciaire
"J’ai des pensées suicidaires, je suis à rue Joséphine Guyot dans Paris. Je veux parler à quelqu’un.",santé
"Bonjour, est-ce qu’il y a des douches accessibles près de boulevard Hervé ? J’ai besoin de me laver rapidement.",douche
Il y a une maraude ce soir vers chemin Ramos ? Je cherche un endroit pour manger ou discuter.,maraude
